id,predicted_price
1,429405.3798977795
2,802610.1066663
3,1256637.6841248523
4,2224541.9608594207
5,672236.3374240657
6,281165.41233237716
7,763416.2969226688
8,553326.0595497553
9,379336.88643499464
10,389012.4176337956
11,486129.49349694286
12,526392.3526169362
13,299539.26875639835
14,381543.03260316234
15,295048.13174345356
16,1134412.3405034046
17,388274.6103482146
18,1162448.765216386
19,395078.4424999362
20,598749.3384886966
21,444317.3237330129
22,1151355.117353865
23,732754.4637431063
24,799485.8652585937
25,463877.9123901563
26,490990.2396072808
27,253262.21230166635
28,207779.7537796623
29,289433.613070348
30,448092.0216955368
31,317277.7668298196
32,585444.3720180045
33,515849.41354585526
34,262347.9546382142
35,530151.5021213023
36,713274.5242946913
37,793613.6426079618
38,406042.90342087916
39,432661.7468018283
40,1008465.8856002125
41,565662.3899876705
42,378696.77736897976
43,335550.54128292884
44,334868.2180078095
45,249651.6829867095
46,236163.0391816215
47,437110.714850074
48,381334.1511497117
49,433908.34683977603
50,747312.3506078557
51,383392.24235443905
52,357421.31174030685
53,512753.7234849819
54,358731.4649361335
55,430803.6496107497
56,1474099.6240053084
57,315787.79386888904
58,720587.7086301858
59,489045.9614477303
60,663802.14520819
61,435969.93597323034
62,304565.5331663438
63,234354.60829855
64,679717.8957742108
65,386065.2522201537
66,192005.09041881643
67,358854.84054968343
68,1055845.876686879
69,375143.36141824804
70,972715.806525093
71,348092.06614035444
72,468335.6596452759
73,577792.567623738
74,621401.9576039329
75,687746.0141886617
76,1016418.8318223129
77,999644.3482587261
78,197468.76849130573
79,449960.6229687126
80,2068104.2688747037
81,553380.3116532374
82,486771.3837154071
83,592668.1029145303
84,249115.79733444782
85,711785.3032667284
86,556290.020737862
87,620720.8751001043
88,541950.9269174715
89,362894.89731218875
90,394514.1253898306
91,271751.31983229495
92,371215.92479658505
93,579679.9066118854
94,676376.5183660139
95,481046.9379544289
96,390161.2262634552
97,284304.29930288723
98,317268.24724189675
99,752288.5027637733
100,482353.2017873092
101,191203.50795772477
102,830504.1523740907
103,682560.0299380436
104,361591.120836592
105,1064056.7835800778
106,333424.6332937452
107,347251.72645917017
108,625126.2214630754
109,822745.8082887225
110,1975143.788483586
111,233511.1328430573
112,241538.69725511622
113,419637.14035848423
114,705933.672695349
115,439654.19543412054
116,393933.4037030558
117,270585.7624659428
118,267711.996978402
119,296307.99237306626
120,317355.6089362749
121,478089.8849256313
122,333287.0390624222
123,354615.63708193775
124,225082.65071436833
125,447029.3020883645
126,985271.2153120327
127,245050.4764676858
128,557626.4132761462
129,239714.9643504626
130,480530.6240364134
131,464982.6173953864
132,387345.3044824712
133,305166.8598694925
134,706775.2191896122
135,339934.2887033916
136,615404.0214644092
137,517138.2465300898
138,285582.6827090348
139,1150921.8349594788
140,575659.5961606321
141,599960.4106395324
142,806976.0169303112
143,760141.0299644675
144,547506.6256093009
145,252386.58915950946
146,385410.48410840833
147,441552.1457723311
148,208456.91786272594
149,300939.9591937396
150,532446.7631914858
151,778262.7963297259
152,818385.3117083923
153,517821.59997604665
154,870758.5236863982
155,1083075.2725498204
156,697836.4602379047
